order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,region
ORD30000,2024-06-10,C0107,P009,2,69.95,0.0,East
ORD30001,2024-06-26,C0178,P010,7,34.88,0.1,East
ORD30002,2024-09-16,C0155,P006,3,481.55,0.1,East
ORD30003,2023-12-31,C0173,P010,3,36.03,0.05,East
ORD30004,2024-03-23,C0023,P015,3,43.32,0.1,East
ORD30005,2023-11-07,C0127,P010,2,33.97,0.0,East
ORD30006,2023-01-10,C0041,P003,1,1236.81,0.0,East
ORD30007,2023-02-28,C0125,P013,2,25.7,0.05,East
ORD30008,2024-10-12,C0132,P002,3,132.67,0.0,East
ORD30009,2024-08-12,C0157,P019,3,154.84,0.0,East
ORD30010,2023-02-23,C0093,P001,1,663.52,0.05,East
ORD30011,2024-09-12,C0095,P013,4,24.05,0.1,East
ORD30012,2023-08-01,C0085,P019,4,150.07,0.15,East
ORD30013,2023-07-10,C0171,P016,1,30.75,0.0,East
ORD30014,2024-04-26,C0105,P004,2,83.54,0.05,East
ORD30015,2024-01-06,C0022,P017,2,19.79,0.05,East
ORD30016,2024-08-10,C0165,P001,1,681.04,0.0,East
ORD30017,2024-12-04,C0175,P021,3,306.64,0.05,East
ORD30018,2023-06-26,C0157,P003,1,1193.53,0.1,East
ORD30019,2023-10-06,C0179,P017,2,20.54,0.1,East
ORD30020,2024-02-13,C0185,P003,3,1202.45,0.0,East
ORD30021,2024-04-19,C0088,P005,3,857.1,0.0,East
ORD30022,2024-10-03,C0078,P014,3,41.94,0.1,East
ORD30023,2023-01-31,C0091,P021,1,307.69,0.0,East
ORD30024,2024-08-17,C0170,P006,3,492.51,0.1,East
ORD30025,2023-10-21,C0189,P018,1,34.39,0.0,East
ORD30026,2024-07-03,C0106,P008,1,57.36,0.0,East
ORD30027,2024-08-31,C0135,P001,2,674.17,0.1,East
ORD30028,2024-11-21,C0126,P010,3,36.12,0.1,East
ORD30029,2023-03-07,C0117,P010,8,35.67,0.05,East
ORD30030,2024-01-17,C0031,P017,3,19.21,0.1,East
ORD30031,2023-05-29,C0063,P002,4,127.31,0.15,East
ORD30032,2023-03-15,C0079,P005,2,871.47,0.0,East
ORD30033,2024-01-02,C0105,P003,5,1208.76,0.2,East
ORD30034,2024-06-21,C0156,P022,1,30.0,0.0,East
ORD30035,2024-08-18,C0084,P014,1,39.54,0.1,East
ORD30036,2024-06-22,C0189,P012,2,134.75,0.0,East
ORD30037,2024-10-19,C0166,P018,1,33.91,0.0,East
ORD30038,2024-10-22,C0193,P023,2,67.33,0.0,East
ORD30039,2024-04-02,C0063,P027,3,71.88,0.1,East
ORD30040,2024-06-13,C0006,P007,2,77.43,0.1,East
ORD30041,2023-09-28,C0200,P003,6,1174.23,0.1,East
ORD30042,2023-02-15,C0016,P004,3,77.44,0.05,East
ORD30043,2024-06-01,C0079,P009,4,73.08,0.2,East
ORD30044,2024-01-27,C0127,P005,3,940.43,0.1,East
ORD30045,2023-06-12,C0185,P010,5,36.44,0.1,East
ORD30046,2023-10-11,C0065,P030,7,24.5,0.1,East
ORD30047,2023-02-12,C0166,P023,4,71.96,0.1,East
ORD30048,2024-08-04,C0001,P029,2,91.37,0.05,East
ORD30049,2023-01-31,C0065,P028,3,125.98,0.1,East
ORD30050,2024-04-18,C0042,P017,3,19.59,0.0,East
ORD30051,2023-03-04,C0072,P024,2,161.76,0.0,East
ORD30052,2024-06-11,C0193,P021,3,293.18,0.1,East
ORD30053,2024-06-13,C0085,P004,1,81.16,0.0,East
ORD30054,2023-09-01,C0106,P001,3,667.05,0.1,East
ORD30055,2024-11-28,C0109,P017,7,19.7,0.05,East
ORD30056,2024-11-03,C0179,P002,1,129.51,0.0,East
ORD30057,2024-08-15,C0104,P006,7,484.57,0.15,East
ORD30058,2024-11-16,C0091,P006,4,489.03,0.05,East
ORD30059,2024-12-27,C0142,P013,2,25.16,0.15,East
ORD30060,2024-10-09,C0175,P006,3,478.26,0.0,East
ORD30061,2023-02-03,C0134,P005,3,872.26,0.05,East
ORD30062,2024-12-20,C0144,P017,2,20.87,0.0,East
ORD30063,2024-11-28,C0105,P003,2,1221.61,0.0,East
ORD30064,2024-07-04,C0058,P007,1,83.34,0.05,East
ORD30065,2024-06-10,C0147,P002,1,136.2,0.0,East
ORD30066,2024-02-08,C0063,P026,2,95.27,0.05,East
ORD30067,2024-01-13,C0065,P018,1,34.9,0.0,East
ORD30068,2024-01-28,C0019,P023,3,71.84,0.1,East
ORD30069,2024-10-23,C0097,P001,2,668.36,0.0,East
ORD30070,2023-08-15,C0017,P005,1,905.32,0.0,East
ORD30071,2023-07-15,C0060,P011,3,49.76,0.0,East
ORD30072,2024-08-07,C0185,P023,5,70.6,0.15,East
ORD30073,2023-01-07,C0050,P013,3,25.33,0.0,East
ORD30074,2023-08-04,C0063,P011,1,47.79,0.0,East
ORD30075,2023-08-12,C0080,P012,3,125.41,0.0,East
ORD30076,2023-06-25,C0169,P001,3,621.22,0.0,East
ORD30077,2024-10-13,C0052,P022,3,30.85,0.0,East
ORD30078,2023-12-08,C0154,P012,3,134.57,0.05,East
ORD30079,2024-06-20,C0027,P016,2,29.98,0.0,East
ORD30080,2024-11-23,C0055,P002,1,133.04,0.1,East
ORD30081,2024-06-18,C0197,P022,8,29.58,0.05,East
ORD30082,2023-01-16,C0050,P008,3,57.25,0.05,East
ORD30083,2023-04-12,C0185,P002,1,134.51,0.05,East
ORD30084,2023-04-11,C0006,P003,3,1185.46,0.0,East
ORD30085,2024-02-26,C0062,P002,2,132.08,0.05,East
ORD30086,2024-11-15,C0166,P024,3,155.06,0.1,East
ORD30087,2023-07-11,C0063,P004,1,82.83,0.0,East
ORD30088,2023-03-18,C0072,P001,1,631.09,0.1,East
ORD30089,2023-08-29,C0117,P023,5,69.98,0.15,East
ORD30090,2024-06-13,C0184,P017,2,19.53,0.1,East
ORD30091,2023-10-26,C0115,P014,5,39.57,0.1,East
ORD30092,2023-07-13,C0022,P009,1,68.56,0.0,East
ORD30093,2024-04-27,C0087,P016,2,29.89,0.1,East
ORD30094,2023-09-12,C0109,P004,3,81.15,0.15,East
ORD30095,2023-02-12,C0165,P005,1,938.38,0.05,East
ORD30096,2023-02-06,C0115,P005,7,877.49,0.15,East
ORD30097,2024-12-15,C0036,P020,3,104.58,0.05,East
ORD30098,2023-06-27,C0149,P022,3,29.91,0.0,East
ORD30099,2024-03-17,C0005,P020,5,110.16,0.1,East
ORD30100,2024-08-27,C0022,P016,2,29.78,0.0,East
ORD30101,2024-08-01,C0008,P004,2,80.61,0.0,East
ORD30102,2023-01-05,C0087,P012,1,129.02,0.1,East
ORD30103,2024-12-19,C0146,P009,1,67.57,0.0,East
ORD30104,2024-06-18,C0147,P011,2,48.51,0.1,East
ORD30105,2023-10-01,C0060,P010,5,33.57,0.15,East
ORD30106,2023-10-11,C0007,P006,1,478.46,0.0,East
ORD30107,2024-05-25,C0018,P003,2,1184.23,0.0,East
ORD30108,2023-06-17,C0029,P022,1,29.92,0.1,East
ORD30109,2023-04-16,C0182,P002,3,125.55,0.1,East
ORD30110,2024-06-07,C0118,P017,2,19.01,0.0,East
ORD30111,2023-02-02,C0135,P023,2,69.71,0.1,East
ORD30112,2024-02-16,C0183,P004,2,80.89,0.1,East
ORD30113,2024-03-30,C0188,P008,2,59.3,0.1,East
ORD30114,2024-12-23,C0012,P010,1,34.2,0.0,East
ORD30115,2024-05-29,C0185,P013,1,24.77,0.1,East
ORD30116,2024-03-03,C0130,P025,2,39.79,0.1,East
ORD30117,2023-09-17,C0141,P001,5,665.98,0.15,East
ORD30118,2024-07-22,C0122,P003,4,1198.16,0.2,East
ORD30119,2023-10-08,C0036,P018,2,36.19,0.05,East
ORD30120,2023-01-10,C0137,P014,3,38.66,0.1,East
ORD30121,2024-01-06,C0046,P014,1,41.56,0.0,East
ORD30122,2024-08-14,C0165,P018,3,34.61,0.0,East
ORD30123,2023-01-27,C0197,P013,1,24.68,0.0,East
ORD30124,2023-02-16,C0087,P001,1,631.83,0.0,East
ORD30125,2024-12-06,C0117,P002,2,127.69,0.15,East
ORD30126,2024-11-15,C0110,P005,1,874.23,0.0,East
ORD30127,2023-03-30,C0100,P006,1,486.0,0.1,East
ORD30128,2024-05-22,C0005,P015,5,46.19,0.15,East
ORD30129,2024-02-22,C0200,P017,6,20.95,0.15,East
ORD30130,2024-12-13,C0197,P030,7,26.18,0.15,East
ORD30131,2024-02-04,C0115,P005,2,900.3,0.0,East
ORD30132,2024-01-07,C0032,P005,2,921.4,0.0,East
ORD30133,2024-11-13,C0076,P002,1,128.37,0.0,East
ORD30134,2024-05-01,C0114,P029,3,86.7,0.05,East
ORD30135,2023-01-21,C0074,P010,1,36.2,0.0,East
ORD30136,2023-05-05,C0171,P001,1,657.01,0.0,East
ORD30137,2023-06-14,C0091,P006,2,477.6,0.1,East
ORD30138,2024-04-14,C0053,P002,1,129.03,0.0,East
ORD30139,2024-03-25,C0156,P014,1,39.13,0.05,East
ORD30140,2024-11-21,C0095,P004,5,77.33,0.2,East
ORD30141,2024-09-15,C0124,P016,1,29.77,0.1,East
ORD30142,2023-06-03,C0045,P014,2,39.84,0.1,East
ORD30143,2024-07-11,C0122,P010,7,33.93,0.2,East
ORD30144,2024-01-03,C0096,P005,2,938.3,0.1,East
ORD30145,2024-07-10,C0151,P009,1,72.68,0.1,East
ORD30146,2024-03-04,C0089,P011,4,50.04,0.15,East
