order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,region
ORD10000,2023-10-02,C0085,P008,4,62.87,0.15,North
ORD10001,2024-05-31,C0182,P002,3,127.06,0.0,North
ORD10002,2024-10-10,C0193,P002,2,134.83,0.0,North
ORD10003,2024-08-28,C0126,P009,4,67.29,0.2,North
ORD10004,2023-09-09,C0039,P006,1,479.25,0.05,North
ORD10005,2023-10-13,C0058,P029,3,89.54,0.1,North
ORD10006,2024-10-28,C0157,P017,3,20.88,0.0,North
ORD10007,2023-04-19,C0197,P001,6,627.66,0.05,North
ORD10008,2023-12-19,C0178,P013,7,23.92,0.2,North
ORD10009,2023-05-16,C0051,P024,2,160.7,0.0,North
ORD10010,2024-05-16,C0063,P019,6,149.08,0.15,North
ORD10011,2024-06-04,C0127,P015,2,45.43,0.0,North
ORD10012,2024-06-14,C0060,P013,6,26.24,0.05,North
ORD10013,2024-05-17,C0167,P008,2,58.08,0.05,North
ORD10014,2024-11-21,C0086,P004,2,82.85,0.0,North
ORD10015,2023-12-22,C0195,P006,3,497.73,0.0,North
ORD10016,2023-06-15,C0001,P004,3,79.3,0.1,North
ORD10017,2023-07-05,C0195,P016,1,29.29,0.0,North
ORD10018,2023-05-28,C0008,P012,3,132.72,0.0,North
ORD10019,2023-01-08,C0177,P007,5,81.17,0.05,North
ORD10020,2023-05-30,C0124,P009,2,69.69,0.0,North
ORD10021,2023-04-08,C0035,P029,1,92.44,0.05,North
ORD10022,2024-06-23,C0001,P029,2,93.03,0.05,North
ORD10023,2024-12-03,C0124,P002,2,130.66,0.05,North
ORD10024,2024-08-21,C0062,P026,3,97.33,0.1,North
ORD10025,2024-01-23,C0098,P004,2,79.95,0.0,North
ORD10026,2023-09-15,C0113,P027,1,71.36,0.1,North
ORD10027,2023-12-02,C0068,P004,2,81.19,0.1,North
ORD10028,2024-12-11,C0195,P021,2,303.51,0.0,North
ORD10029,2023-12-17,C0200,P012,8,129.26,0.05,North
ORD10030,2024-01-15,C0096,P001,2,633.36,0.0,North
ORD10031,2023-12-16,C0192,P008,6,59.98,0.1,North
ORD10032,2024-04-28,C0171,P009,1,72.8,0.1,North
ORD10033,2024-03-21,C0077,P003,3,1222.83,0.1,North
ORD10034,2024-06-03,C0028,P004,1,80.57,0.1,North
ORD10035,2024-12-24,C0003,P006,3,520.52,0.0,North
ORD10036,2024-05-26,C0091,P020,1,111.32,0.0,North
ORD10037,2024-12-03,C0105,P012,4,123.92,0.2,North
ORD10038,2023-03-09,C0107,P003,1,1155.85,0.0,North
ORD10039,2024-07-06,C0066,P009,2,71.72,0.05,North
ORD10040,2023-02-28,C0024,P007,8,83.73,0.2,North
ORD10041,2024-07-06,C0180,P004,2,78.94,0.2,North
ORD10042,2024-05-14,C0028,P018,3,34.89,0.0,North
ORD10043,2024-10-14,C0143,P005,7,936.83,0.2,North
ORD10044,2023-07-29,C0078,P001,2,623.81,0.0,North
ORD10045,2024-03-10,C0191,P009,3,70.6,0.1,North
ORD10046,2024-07-31,C0072,P016,1,29.14,0.05,North
ORD10047,2024-04-30,C0095,P019,3,143.4,0.05,North
ORD10048,2023-03-04,C0005,P028,7,114.6,0.05,North
ORD10049,2023-03-06,C0065,P020,3,113.43,0.1,North
ORD10050,2023-03-17,C0166,P023,3,72.08,0.15,North
ORD10051,2023-01-14,C0061,P003,3,1141.88,0.05,North
ORD10052,2023-03-06,C0143,P017,5,20.55,0.2,North
ORD10053,2024-02-25,C0012,P008,3,59.74,0.05,North
ORD10054,2024-02-01,C0028,P028,2,114.87,0.1,North
ORD10055,2023-11-08,C0163,P002,3,128.44,0.05,North
ORD10056,2024-05-30,C0180,P011,1,49.64,0.0,North
ORD10057,2024-07-30,C0187,P004,1,79.4,0.05,North
ORD10058,2024-07-10,C0018,P030,1,23.97,0.0,North
ORD10059,2023-07-10,C0065,P023,6,71.18,0.15,North
ORD10060,2023-12-07,C0178,P024,6,157.62,0.15,North
ORD10061,2024-04-18,C0200,P004,4,76.91,0.15,North
ORD10062,2023-04-26,C0160,P023,3,70.75,0.0,North
ORD10063,2024-12-21,C0196,P002,2,128.05,0.05,North
ORD10064,2023-03-15,C0185,P010,2,34.56,0.1,North
ORD10065,2024-03-21,C0146,P006,3,519.16,0.0,North
ORD10066,2023-11-13,C0170,P001,2,656.95,0.1,North
ORD10067,2023-04-21,C0029,P019,2,150.39,0.1,North
ORD10068,2023-04-23,C0005,P011,4,51.33,0.1,North
ORD10069,2024-05-28,C0111,P001,1,642.2,0.0,North
ORD10070,2024-09-13,C0019,P012,2,129.16,0.0,North
ORD10071,2024-02-09,C0104,P023,3,68.52,0.1,North
ORD10072,2023-06-16,C0177,P005,2,894.29,0.0,North
ORD10073,2023-08-12,C0063,P017,7,19.43,0.15,North
ORD10074,2024-02-09,C0050,P007,2,81.81,0.05,North
ORD10075,2024-03-16,C0045,P002,3,133.37,0.0,North
ORD10076,2024-03-31,C0194,P030,3,25.44,0.1,North
ORD10077,2024-11-25,C0161,P027,2,74.54,0.0,North
ORD10078,2024-11-19,C0091,P003,3,1177.24,0.0,North
