order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,region
ORD20000,2024-04-26,C0162,P028,2,117.79,0.1,South
ORD20001,2023-03-02,C0017,P012,3,132.6,0.0,South
ORD20002,2023-09-15,C0023,P006,2,494.06,0.1,South
ORD20003,2024-01-16,C0142,P011,8,52.29,0.15,South
ORD20004,2023-12-13,C0003,P024,3,153.96,0.0,South
ORD20005,2023-11-02,C0079,P011,1,48.55,0.05,South
ORD20006,2024-09-19,C0057,P002,3,125.85,0.05,South
ORD20007,2024-01-28,C0141,P023,1,71.19,0.05,South
ORD20008,2023-04-12,C0092,P016,1,28.79,0.0,South
ORD20009,2024-04-09,C0169,P004,2,80.51,0.0,South
ORD20010,2023-06-11,C0076,P026,8,102.11,0.1,South
ORD20011,2024-05-21,C0085,P020,2,109.39,0.1,South
ORD20012,2024-09-06,C0021,P008,2,62.34,0.0,South
ORD20013,2023-11-17,C0130,P001,3,670.31,0.0,South
ORD20014,2024-10-29,C0140,P001,3,659.99,0.1,South
ORD20015,2023-07-20,C0075,P005,1,900.09,0.1,South
ORD20016,2023-07-06,C0081,P012,7,133.33,0.1,South
ORD20017,2023-03-23,C0038,P005,3,939.52,0.1,South
ORD20018,2023-09-07,C0011,P003,3,1202.14,0.0,South
ORD20019,2024-07-17,C0011,P010,3,33.6,0.05,South
ORD20020,2024-11-20,C0140,P024,3,158.02,0.0,South
ORD20021,2023-10-28,C0097,P013,1,24.62,0.1,South
ORD20022,2024-09-06,C0122,P023,5,68.1,0.1,South
ORD20023,2024-05-23,C0050,P002,7,132.08,0.05,South
ORD20024,2023-06-19,C0123,P016,1,30.43,0.0,South
ORD20025,2023-05-05,C0035,P005,3,935.16,0.0,South
ORD20026,2023-03-27,C0104,P002,3,134.91,0.0,South
ORD20027,2024-05-25,C0121,P026,2,97.18,0.0,South
ORD20028,2023-03-15,C0131,P020,2,112.46,0.0,South
ORD20029,2023-08-21,C0192,P013,3,23.78,0.05,South
ORD20030,2024-09-15,C0046,P014,2,41.5,0.0,South
ORD20031,2024-03-01,C0050,P006,6,519.84,0.05,South
ORD20032,2024-11-28,C0012,P010,3,34.04,0.1,South
ORD20033,2024-07-14,C0179,P006,3,496.26,0.0,South
ORD20034,2023-04-30,C0140,P025,2,38.75,0.05,South
ORD20035,2024-01-04,C0097,P007,3,81.49,0.0,South
ORD20036,2023-07-05,C0065,P004,2,80.51,0.1,South
ORD20037,2024-12-14,C0143,P008,2,59.21,0.0,South
ORD20038,2024-05-09,C0181,P029,2,93.18,0.0,South
ORD20039,2024-04-27,C0026,P012,1,133.71,0.1,South
ORD20040,2024-11-10,C0192,P018,7,36.05,0.05,South
ORD20041,2024-08-29,C0057,P028,3,114.95,0.15,South
ORD20042,2023-07-16,C0134,P028,2,125.34,0.0,South
ORD20043,2024-11-23,C0070,P007,4,76.26,0.1,South
ORD20044,2024-09-21,C0105,P017,4,20.3,0.1,South
ORD20045,2024-02-14,C0102,P028,2,120.2,0.0,South
ORD20046,2024-02-05,C0144,P029,3,88.62,0.05,South
ORD20047,2024-04-25,C0104,P014,3,39.03,0.0,South
ORD20048,2023-02-24,C0030,P011,3,51.87,0.05,South
ORD20049,2024-10-21,C0145,P004,2,82.05,0.0,South
ORD20050,2024-08-22,C0124,P017,1,19.13,0.05,South
ORD20051,2024-04-22,C0106,P014,2,40.79,0.0,South
ORD20052,2023-05-28,C0088,P006,1,498.82,0.0,South
ORD20053,2023-10-21,C0049,P006,2,486.73,0.0,South
ORD20054,2023-05-16,C0159,P002,2,133.62,0.0,South
ORD20055,2023-02-10,C0002,P018,3,36.21,0.0,South
ORD20056,2023-06-11,C0126,P011,1,49.48,0.05,South
ORD20057,2024-03-06,C0139,P004,1,79.14,0.05,South
ORD20058,2024-03-30,C0118,P007,2,76.09,0.0,South
ORD20059,2023-10-25,C0067,P003,1,1168.45,0.05,South
ORD20060,2024-11-09,C0054,P002,2,128.24,0.05,South
ORD20061,2023-08-19,C0176,P002,1,132.86,0.0,South
ORD20062,2024-10-11,C0166,P010,5,33.86,0.05,South
ORD20063,2024-11-18,C0125,P012,2,130.8,0.05,South
ORD20064,2024-07-22,C0057,P002,5,129.34,0.05,South
ORD20065,2023-07-04,C0066,P005,2,892.05,0.0,South
ORD20066,2023-12-14,C0167,P026,3,104.78,0.0,South
ORD20067,2023-06-16,C0115,P016,1,30.33,0.1,South
ORD20068,2024-03-15,C0087,P024,2,165.57,0.1,South
ORD20069,2023-03-24,C0075,P003,3,1212.64,0.05,South
ORD20070,2023-08-16,C0134,P021,2,290.01,0.1,South
ORD20071,2024-03-05,C0191,P018,3,33.98,0.0,South
ORD20072,2023-02-18,C0007,P004,2,76.82,0.0,South
ORD20073,2024-02-13,C0064,P016,3,29.82,0.05,South
ORD20074,2023-09-27,C0149,P019,8,155.45,0.15,South
ORD20075,2024-10-03,C0179,P029,3,90.81,0.0,South
ORD20076,2024-11-21,C0164,P022,3,31.22,0.05,South
ORD20077,2024-04-26,C0106,P022,2,29.4,0.0,South
ORD20078,2023-03-11,C0177,P004,2,78.39,0.1,South
ORD20079,2024-05-29,C0049,P013,2,24.73,0.1,South
ORD20080,2023-11-27,C0195,P010,5,35.05,0.1,South
ORD20081,2024-11-09,C0167,P024,3,158.6,0.05,South
ORD20082,2024-04-03,C0159,P001,2,663.02,0.05,South
ORD20083,2024-06-13,C0006,P001,1,635.83,0.0,South
ORD20084,2023-08-13,C0062,P014,5,39.36,0.1,South
ORD20085,2023-09-13,C0009,P028,2,124.11,0.0,South
ORD20086,2024-01-29,C0085,P004,3,83.16,0.1,South
ORD20087,2023-07-15,C0183,P019,1,154.06,0.1,South
ORD20088,2024-01-18,C0134,P006,3,498.63,0.0,South
ORD20089,2024-06-08,C0011,P026,3,97.52,0.0,South
ORD20090,2024-04-11,C0056,P001,1,658.63,0.0,South
ORD20091,2023-03-27,C0076,P023,2,70.56,0.05,South
ORD20092,2024-12-18,C0064,P015,1,43.15,0.1,South
ORD20093,2024-11-16,C0180,P003,3,1155.09,0.0,South
ORD20094,2023-10-13,C0113,P021,3,285.63,0.0,South
ORD20095,2023-03-10,C0113,P001,3,652.77,0.05,South
ORD20096,2024-10-17,C0120,P003,2,1148.26,0.0,South
ORD20097,2023-06-01,C0001,P023,3,71.63,0.1,South
ORD20098,2024-11-13,C0143,P023,7,67.82,0.2,South
ORD20099,2024-10-09,C0165,P003,2,1151.54,0.0,South
ORD20100,2024-01-23,C0105,P020,3,109.83,0.05,South
ORD20101,2023-10-20,C0135,P016,3,28.64,0.05,South
ORD20102,2023-02-06,C0021,P002,2,128.18,0.0,South
ORD20103,2024-07-31,C0081,P024,4,163.74,0.05,South
ORD20104,2024-02-09,C0024,P029,6,87.2,0.2,South
ORD20105,2024-05-07,C0143,P008,2,61.59,0.0,South
ORD20106,2024-12-11,C0027,P012,1,130.64,0.0,South
ORD20107,2024-12-02,C0091,P005,2,931.03,0.05,South
ORD20108,2023-11-21,C0062,P012,3,128.37,0.0,South
ORD20109,2024-05-10,C0102,P004,1,83.85,0.0,South
ORD20110,2024-09-22,C0024,P003,3,1142.59,0.15,South
ORD20111,2024-12-19,C0147,P023,3,67.15,0.0,South
ORD20112,2024-03-20,C0064,P003,1,1237.32,0.05,South
ORD20113,2023-07-24,C0186,P008,2,58.03,0.1,South
ORD20114,2024-12-19,C0077,P013,1,23.94,0.1,South
ORD20115,2023-06-21,C0031,P004,1,81.06,0.0,South
ORD20116,2024-01-28,C0145,P001,1,650.15,0.05,South
ORD20117,2023-01-26,C0193,P016,3,29.16,0.0,South
ORD20118,2023-07-21,C0060,P003,7,1205.77,0.05,South
ORD20119,2023-07-24,C0122,P012,5,129.83,0.1,South
ORD20120,2024-04-10,C0063,P012,1,133.59,0.05,South
ORD20121,2023-10-22,C0094,P006,2,491.03,0.0,South
ORD20122,2024-01-13,C0158,P020,2,109.34,0.0,South
ORD20123,2024-04-29,C0195,P003,2,1169.16,0.05,South
ORD20124,2024-03-16,C0177,P021,4,299.13,0.2,South
ORD20125,2023-10-03,C0067,P005,3,911.06,0.1,South
ORD20126,2024-12-21,C0170,P013,3,24.38,0.0,South
ORD20127,2023-04-13,C0120,P023,3,66.96,0.0,South
ORD20128,2024-12-05,C0028,P024,1,165.87,0.05,South
ORD20129,2024-04-28,C0026,P029,2,93.29,0.1,South
ORD20130,2024-04-05,C0183,P004,1,77.97,0.0,South
ORD20131,2024-06-19,C0149,P012,7,128.11,0.15,South
ORD20132,2023-09-14,C0100,P001,1,632.15,0.05,South
ORD20133,2023-07-21,C0134,P013,3,24.78,0.0,South
ORD20134,2024-08-06,C0139,P029,1,91.36,0.0,South
ORD20135,2024-12-16,C0181,P020,3,109.22,0.0,South
ORD20136,2024-03-15,C0082,P017,1,19.36,0.0,South
ORD20137,2024-03-15,C0106,P015,2,44.73,0.05,South
ORD20138,2024-11-22,C0115,P027,2,72.63,0.1,South
ORD20139,2024-11-09,C0060,P017,3,19.45,0.0,South
ORD20140,2023-02-10,C0050,P016,5,29.04,0.15,South
ORD20141,2023-08-31,C0136,P002,8,135.52,0.05,South
ORD20142,2024-04-23,C0017,P014,1,41.46,0.1,South
ORD20143,2024-06-15,C0199,P020,1,112.41,0.1,South
ORD20144,2023-10-20,C0181,P017,1,19.89,0.0,South
ORD20145,2024-01-22,C0102,P020,3,110.62,0.0,South
ORD20146,2024-11-18,C0102,P026,2,99.6,0.05,South
ORD20147,2024-11-09,C0037,P030,2,23.97,0.1,South
ORD20148,2024-04-02,C0101,P024,2,159.2,0.05,South
ORD20149,2023-10-30,C0024,P020,2,112.1,0.05,South
ORD20150,2024-03-24,C0109,P013,7,23.95,0.15,South
ORD20151,2024-09-18,C0098,P014,1,41.64,0.0,South
ORD20152,2024-12-03,C0046,P020,3,109.11,0.0,South
ORD20153,2023-08-17,C0122,P002,3,131.58,0.05,South
ORD20154,2023-08-23,C0002,P010,3,34.07,0.1,South
ORD20155,2024-08-31,C0050,P010,2,36.33,0.1,South
ORD20156,2023-11-18,C0166,P008,2,57.21,0.15,South
ORD20157,2024-12-07,C0023,P011,1,49.57,0.0,South
ORD20158,2023-12-11,C0153,P006,3,523.3,0.0,South
ORD20159,2024-07-03,C0083,P025,2,41.27,0.1,South
ORD20160,2024-10-08,C0104,P004,4,80.19,0.2,South
ORD20161,2024-11-09,C0162,P005,3,898.52,0.0,South
ORD20162,2024-12-27,C0067,P005,3,938.43,0.05,South
ORD20163,2024-09-11,C0047,P012,3,132.7,0.0,South
ORD20164,2024-01-01,C0031,P004,3,82.39,0.0,South
ORD20165,2024-07-30,C0164,P003,1,1216.86,0.0,South
ORD20166,2024-05-10,C0141,P021,2,288.41,0.0,South
ORD20167,2023-07-22,C0045,P017,1,20.66,0.05,South
ORD20168,2024-09-02,C0124,P025,1,41.56,0.1,South
ORD20169,2024-06-20,C0015,P010,3,35.22,0.05,South
ORD20170,2024-10-11,C0085,P008,2,62.81,0.0,South
ORD20171,2023-01-16,C0043,P004,3,77.49,0.1,South
ORD20172,2023-06-07,C0070,P015,2,44.98,0.0,South
ORD20173,2023-08-20,C0063,P021,3,296.22,0.05,South
ORD20174,2023-04-14,C0124,P028,3,116.27,0.0,South
ORD20175,2024-09-25,C0200,P003,8,1164.61,0.1,South
