order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,region
ORD40000,2023-10-25,C0018,P005,1,931.67,0.0,West
ORD40001,2023-02-19,C0122,P016,2,31.43,0.0,West
ORD40002,2024-05-01,C0099,P002,2,124.3,0.0,West
ORD40003,2023-01-20,C0096,P019,3,156.34,0.0,West
ORD40004,2023-12-24,C0147,P008,3,58.16,0.0,West
ORD40005,2024-12-13,C0112,P002,3,124.61,0.0,West
ORD40006,2023-12-09,C0002,P001,2,654.43,0.1,West
ORD40007,2024-06-23,C0187,P006,3,484.5,0.1,West
ORD40008,2023-08-31,C0144,P009,1,69.56,0.0,West
ORD40009,2024-02-06,C0077,P008,1,59.98,0.0,West
ORD40010,2023-10-04,C0075,P002,2,132.63,0.1,West
ORD40011,2023-03-22,C0062,P025,3,39.59,0.05,West
ORD40012,2023-12-24,C0068,P023,3,66.72,0.0,West
ORD40013,2024-04-12,C0065,P001,8,677.56,0.15,West
ORD40014,2024-02-01,C0145,P001,3,639.97,0.0,West
ORD40015,2023-08-02,C0142,P017,2,19.53,0.0,West
ORD40016,2023-01-19,C0111,P008,2,61.68,0.05,West
ORD40017,2024-04-26,C0115,P001,6,661.82,0.2,West
ORD40018,2024-10-09,C0179,P010,1,35.69,0.1,West
ORD40019,2024-02-29,C0095,P011,2,49.21,0.0,West
ORD40020,2024-05-01,C0136,P005,7,944.17,0.05,West
ORD40021,2023-05-08,C0109,P019,3,143.15,0.15,West
ORD40022,2023-12-02,C0142,P021,5,304.69,0.05,West
ORD40023,2023-10-06,C0092,P006,1,510.65,0.1,West
ORD40024,2024-10-09,C0104,P006,4,477.69,0.05,West
ORD40025,2024-12-27,C0053,P028,1,117.65,0.0,West
ORD40026,2024-03-03,C0076,P002,7,131.94,0.2,West
ORD40027,2024-02-28,C0151,P001,2,671.26,0.05,West
ORD40028,2023-05-23,C0098,P022,2,28.62,0.1,West
ORD40029,2023-04-05,C0063,P017,2,20.86,0.15,West
ORD40030,2024-06-21,C0152,P027,1,73.8,0.0,West
ORD40031,2024-08-10,C0193,P024,1,160.84,0.0,West
ORD40032,2024-12-13,C0147,P005,3,869.62,0.05,West
ORD40033,2023-05-02,C0175,P001,2,682.41,0.0,West
ORD40034,2024-05-31,C0104,P004,4,81.26,0.15,West
ORD40035,2024-11-07,C0083,P003,2,1193.25,0.0,West
ORD40036,2023-01-05,C0143,P009,1,66.9,0.1,West
ORD40037,2024-05-21,C0017,P023,2,68.3,0.0,West
ORD40038,2024-05-12,C0197,P020,3,107.05,0.05,West
ORD40039,2024-04-04,C0011,P016,3,28.67,0.0,West
ORD40040,2024-05-12,C0091,P025,3,40.39,0.0,West
ORD40041,2023-02-09,C0061,P007,1,80.55,0.05,West
ORD40042,2024-12-14,C0073,P012,1,127.74,0.0,West
ORD40043,2024-06-20,C0076,P030,3,24.14,0.0,West
ORD40044,2023-03-18,C0005,P025,8,40.03,0.15,West
ORD40045,2024-09-17,C0056,P024,2,162.5,0.0,West
ORD40046,2023-11-29,C0058,P001,3,652.52,0.1,West
ORD40047,2023-09-28,C0135,P023,3,68.71,0.1,West
ORD40048,2023-10-22,C0197,P002,2,129.42,0.0,West
ORD40049,2024-02-29,C0105,P016,2,29.55,0.0,West
ORD40050,2024-07-04,C0136,P017,3,20.84,0.1,West
ORD40051,2023-07-28,C0057,P018,8,34.44,0.15,West
ORD40052,2023-07-29,C0162,P008,1,62.25,0.0,West
ORD40053,2023-03-03,C0121,P011,3,48.12,0.0,West
ORD40054,2023-08-09,C0034,P002,3,135.24,0.1,West
ORD40055,2023-07-25,C0031,P014,2,40.36,0.05,West
ORD40056,2024-01-24,C0105,P003,3,1228.87,0.1,West
ORD40057,2024-09-01,C0031,P018,8,33.77,0.05,West
ORD40058,2023-10-31,C0083,P006,2,500.42,0.0,West
ORD40059,2024-02-19,C0145,P004,3,78.27,0.1,West
ORD40060,2023-04-02,C0189,P025,3,39.71,0.0,West
ORD40061,2023-11-12,C0031,P003,2,1198.39,0.05,West
ORD40062,2023-03-28,C0193,P003,1,1219.96,0.0,West
ORD40063,2023-04-16,C0008,P011,3,52.29,0.0,West
ORD40064,2024-04-09,C0073,P001,3,665.08,0.1,West
ORD40065,2024-08-20,C0031,P001,2,649.55,0.1,West
ORD40066,2023-03-12,C0091,P030,1,25.56,0.0,West
ORD40067,2023-09-17,C0132,P004,3,81.64,0.0,West
ORD40068,2023-01-20,C0082,P012,1,135.83,0.0,West
ORD40069,2024-05-05,C0057,P004,3,78.11,0.0,West
ORD40070,2023-04-06,C0195,P015,6,42.75,0.1,West
ORD40071,2023-10-13,C0136,P018,7,35.39,0.15,West
ORD40072,2024-04-30,C0047,P016,2,31.11,0.0,West
ORD40073,2024-09-07,C0140,P022,2,28.78,0.05,West
